Pre.,Clac.,Error,SMILES
2.883166358,2.798414473,0.02939542,O=C(c1ccc(*)cc1)c1ccc(COCOCc2ccc(C(=O)c3ccc(N4C(=O)c5ccc(-c6ccc(CCC(O)CCc7ccc(-c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1
2.905026103,2.829727939,0.025919961,O=C(NCc1ccc(Cc2ccc(CNC(=O)c3ccc(N4C(=O)c5ccc(C(=O)c6ccc(C(O)CC(O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
2.90423207,2.892760586,0.00394992,O=C(NCc1ccc(Oc2ccc(CNC(=O)c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
3.083552888,3.082416028,0.000368685,O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(Cc2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(OC(=O)c5ccc(CSCc6ccc(C(=O)Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
2.974122253,2.922303641,0.017423161,O=C(Oc1ccc(N2C(=O)c3ccc(OCc4ccc(-c5ccc(COc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)cc1)c1ccc(C(=O)C(O)c2ccc(C(=O)Oc3ccc(*)cc3)cc2)cc1
2.878928457,2.775928927,0.035777037,CP(=O)(c1ccc2c(c1)C(=O)N(*)C2=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(COCOCc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc1)C2=O
2.710583866,2.700017948,0.003898023,CN(Cc1ccc2c(c1)C(=O)N(*)C2=O)Cc1ccc2c(c1)C(=O)N(c1ccc(OCc3ccc(P(C)c4ccc(COc5ccc(*)cc5)cc4)cc3)cc1)C2=O
3.326985704,3.420948498,0.02824262,CC(C)(c1ccc(C(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(NC(=O)c4ccc(-c5ccc(-c6ccc(C(=O)Nc7ccc(*)cc7)cc6)s5)cc4)cc2)C3=O)cc1
2.709142505,2.548847264,0.059168257,O=C(OCc1ccc(C(O)c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(COCc6ccc(COc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
2.702877957,2.680853315,0.008148589,CC(C)(c1ccc(C*)cc1)c1ccc(CN2C(=O)c3ccc(C(O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1
3.51440292,3.524016556,0.002735496,CP(c1ccc(C(=O)Nc2ccc(*)cc2)cc1)c1ccc(C(=O)Nc2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(/C=C/c6ccc(C(=O)Nc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1
